video_id,comment
dOZX3_Y4kKg,"China started make in China policy in 1978 but India started make in India policy in 2014. That's mean 36 years deferent between China and India but India has been being better more and more since 2014 for make in India policy Now' Indian economy, manufacturing, infrastructure, express ways, highways, village roads, train ways, bullet train, education, science and technology, satellites and defence weapons etc are progressing day by day and India shall be better than China after 2040 for everything. Let me say something regarding Chinese products because Chinese products are not good quality but Indian products are better quality. Lastly India is democratic country but not China. That's why all the people of India can speak freely against Govt of India but all the people of China can't speak freely against Govt of China."
dOZX3_Y4kKg,"Just another pakistani channel using AI voice....😂😂.
Pakistanis are great social media warriors.
In real world they *** in their pants."
dOZX3_Y4kKg,"They often yap about how india is so great vishawguru and no 1 country and their religion and culture is advanced or better than other people while the ground reality is they are the highest in number in any country immigration. And most importantly majority of people don't question politicians they just spoke for them like a spokesperson,so problem is not in the gov but the real problem is Indian people itslef they have the mindset of fighting each other for religion and casts."
dOZX3_Y4kKg,Pay bribe to everyone.....
dOZX3_Y4kKg,Optics vs output
MGWYD4KBZpQ,Wrong Map
MGWYD4KBZpQ,"Why you people do not show full.map.of india, what your problem, are you scared? From.china or pakistan?"
MGWYD4KBZpQ,"A country living on usa alms , a freeloader judging india wow"
MGWYD4KBZpQ,"See .. This Is The Toolkit Behaviour 1.4B  INDIANS don't Like .. Show Full India MAP Next Time or Leave India Alone since it's a 3rd World nation ... We grew up with a Thought that ""WE ARE ALL ALONE .. NO ONE WILL COME TO HELP US .That is What Our Strength "" if Any One Come To Help Us like RUSSIA and ISRAEL it's a Bonus For Us and We Never Forget Their Help ..  .."
MGWYD4KBZpQ,Make in India is Historic 😍🤩😍
MGWYD4KBZpQ,@france 24 show correct mapnof india
MGWYD4KBZpQ,Maroni and Lawa Rivers belongs to suriname not france.
MGWYD4KBZpQ,For the time being make in Russia is better
MGWYD4KBZpQ,India will feel offended without Jammu and Kashmir on the map. I feel France will not make that mistake next time.
MGWYD4KBZpQ,Tejas cannot even rise up
MGWYD4KBZpQ,Tejas cannot even rise up
MGWYD4KBZpQ,*Jammu and Kashmir is an integral part of India. Kindly show the correct map.* There's no point in appeasing a global terrør exporter state called Pakistan. Cheers 🥂
MGWYD4KBZpQ,Show correct map of india
MGWYD4KBZpQ,Modi is the greatest PM India ever had
MGWYD4KBZpQ,I un subscribed and ban france 24 tv for not showing right map of India.🙏
MGWYD4KBZpQ,"Azerbaijan kicked Armenian out of occupied land and took the control back. Guess who was standing with who? I will tell you. Endia supported Armenia against Azerbaijan, and Pakistan and Türkiye supported Azerbaijan."
MGWYD4KBZpQ,🕉 🕉 🕉 wake up 🇮🇱 🇮🇳 🇫🇷 🙏
MGWYD4KBZpQ,"Made in India? Really? 
Sam Altman: Indian AI is hopeless (2023)
Indians:  ""Challenge accepted"" (2023)
India:  India in Paris AI summit 2025 - Please help us make AI.
Truly sp in eless😅.
Just like Brahmos, needs help from Russia
Just like Space Race, needs help from USA since 2008 (NASA 2014 article: U.S., India to Collaborate on Mars Exploration, Earth-Observing Mission.)
Can't SOLO as always."
MGWYD4KBZpQ,"Made in India? Really? It's a well known fact that Indians (India) buy made in China's finished product or spare parts and disassembled them before re-assembling them with certain parts of made in india into a finished product, before re-labelling them as ""made in India"". eg. drones. Is it true that ""Defense sources revealed that investigations uncovered Chinese-origin electronics embedded in Indian drones""🤭🤣😂"
MGWYD4KBZpQ,"🤭🤣😂😅😆Made in India? Really? Despite Western and Indian efforts to hype up Indian CEOs and Indian talents and Indian tech, reality prevails in the end. Not one single Indian could make any DeepSeek moment or any TikTock moment. Over-paid, over-hyped and over-rated. 🤭"
MGWYD4KBZpQ,Modi is slave of usa...
MGWYD4KBZpQ,Didn't knew a French channel is running Indian propaganda 😂
MGWYD4KBZpQ,Will they weaponize rice grains? 😂😂😂
MGWYD4KBZpQ,This deliberate attempt to erase J&K from India's map by Western liberal media won't be forgotten or forgiven
MGWYD4KBZpQ,Report this channel showing wrong map
MGWYD4KBZpQ,India shd ally with France rather than US
MGWYD4KBZpQ,Show the correct map of India
MGWYD4KBZpQ,Don't buy weapons from France .
MGWYD4KBZpQ,Show full map of india😕😕
MGWYD4KBZpQ,Sanction india; they are growing tension south asia and try to rule mafia style
